4431,1993,1293,1122
4429,1992,1292,1122
4422,1989,1290,1120
4422,1989,1290,1120
4422,1989,1290,1120
4417,1987,1289,1119
4416,1986,1288,1118
4416,1986,1288,1119
4411,1984,1287,1117
4408,1983,1286,1117
4408,1983,1286,1117
4403,1981,1285,1115
4400,1980,1284,1115
4401,1980,1284,1115
4399,1979,1284,1114
4396,1978,1283,1113
4396,1978,1283,1113
4395,1977,1283,1113
4391,1975,1282,1112
4391,1976,1282,1112
4390,1975,1282,1112
4385,1974,1281,1111
4381,1972,1280,1110
4377,1971,1279,1109
4373,1970,1277,1108
4370,1968,1276,1107
4368,1968,1275,1107
4364,1966,1274,1106
4363,1965,1273,1106
4361,1965,1273,1105
4358,1964,1272,1105
4356,1963,1271,1104
4356,1962,1271,1104
4353,1961,1270,1103
4352,1960,1270,1103
4350,1960,1270,1103
4349,1960,1269,1102
4349,1960,1269,1102
4351,1960,1270,1103
4352,1961,1270,1103
4354,1961,1271,1103
4355,1962,1271,1103
4357,1963,1272,1104
4359,1964,1273,1104
4361,1965,1273,1105
4366,1966,1275,1106
4370,1968,1276,1107
4371,1968,1276,1107
4374,1970,1277,1108
4377,1971,1278,1109
4376,1971,1278,1108
4375,1971,1278,1108
4377,1973,1278,1109
4377,1973,1278,1109
4375,1973,1278,1109
4377,1974,1278,1109
4379,1975,1279,1110
4380,1975,1279,1110
4383,1976,1279,1111
4387,1978,1280,1112
4386,1978,1280,1112
4387,1979,1280,1112
4392,1981,1282,1114
4395,1981,1282,1114
4395,1981,1282,1114
4396,1983,1283,1115
4399,1984,1284,1115
4399,1984,1284,1115
4398,1985,1285,1116
4402,1985,1286,1117
4408,1987,1286,1117
4406,1987,1286,1117
4407,1987,1287,1119
4413,1990,1288,1119
4415,1990,1289,1119
4416,1990,1289,1119
4419,1992,1290,1120
4423,1994,1292,1121
4423,1993,1291,1121
4426,1995,1293,1122
4430,1997,1294,1122
4426,1996,1293,1122
4424,1995,1292,1121
4428,1997,1293,1123
4427,1997,1293,1122
4422,1996,1291,1122
4425,1998,1292,1122
4429,1999,1293,1123
4428,1998,1292,1123
4431,2000,1293,1124
4435,2001,1294,1125
4434,2001,1294,1125
4434,2001,1294,1125
4438,2003,1295,1126
4436,2003,1295,1126
4436,2003,1295,1125
4441,2005,1296,1127
4446,2007,1297,1128
4446,2006,1297,1128
4450,2008,1299,1129
4454,2010,1300,1130
4453,2009,1300,1130
4455,2010,1300,1130
4459,2012,1302,1131
4461,2013,1302,1131
4464,2013,1303,1132
4471,2015,1305,1134
4473,2016,1305,1134
4473,2016,1305,1134
4475,2018,1306,1135
4475,2019,1307,1135
4472,2018,1306,1134
4473,2018,1306,1134
4475,2019,1306,1135
4475,2020,1306,1135
4476,2020,1306,1136
4477,2021,1306,1136
4477,2021,1306,1136
4476,2020,1306,1136
4477,2021,1306,1136
4478,2021,1306,1137
4477,2021,1306,1136
4479,2021,1307,1137
4480,2022,1307,1137
4481,2022,1307,1137
4482,2023,1307,1138
4483,2023,1308,1138
4484,2024,1308,1138
4484,2024,1308,1138
4487,2025,1309,1139
4488,2025,1309,1139
4489,2025,1310,1139
4492,2026,1310,1140
4494,2027,1311,1140
4494,2027,1311,1140
4496,2028,1312,1141
4499,2029,1313,1141
4498,2029,1313,1141
4497,2029,1312,1141
4496,2028,1312,1141
4495,2028,1311,1141
4493,2028,1311,1141
4491,2027,1310,1140
4490,2027,1310,1140
4490,2027,1309,1140
4489,2026,1309,1140
4488,2026,1309,1140
4487,2026,1308,1139
4486,2026,1308,1139
4486,2026,1308,1139
4485,2025,1308,1139
4483,2025,1308,1139
4482,2025,1308,1139
4482,2024,1308,1138
4482,2024,1308,1138
4482,2024,1308,1138
4482,2024,1308,1138
4482,2024,1308,1138
4483,2024,1308,1138
4482,2024,1308,1138
4482,2024,1308,1138
4482,2024,1308,1138
4481,2024,1308,1138
4477,2023,1307,1137
4474,2022,1307,1136
4474,2021,1306,1136
4472,2020,1305,1135
4469,2019,1304,1135
4466,2019,1303,1134
4465,2019,1302,1134
4462,2018,1302,1134
4461,2017,1302,1134
4461,2017,1302,1134
4460,2016,1301,1134
4459,2016,1301,1133
4458,2016,1301,1133
4457,2015,1300,1133
4454,2014,1300,1132
4453,2013,1299,1132
4452,2013,1299,1132
4451,2012,1299,1131
4450,2012,1299,1131
4451,2012,1299,1131
4448,2011,1298,1130
4447,2010,1298,1130
4448,2011,1299,1130
4447,2010,1298,1130
4445,2009,1298,1129
4446,2009,1298,1129
4445,2009,1298,1129
4440,2007,1297,1128
4437,2007,1296,1127
4433,2005,1295,1126
4430,2004,1294,1126
4430,2004,1293,1126
4428,2003,1293,1125
4423,2001,1291,1124
4422,2001,1291,1124
4421,2000,1290,1124
4418,1999,1289,1123
4416,1998,1289,1123
4416,1998,1289,1123
4412,1997,1288,1122
4408,1996,1287,1121
4409,1996,1287,1121
4407,1995,1287,1121
4405,1994,1286,1120
4406,1994,1286,1120
4403,1993,1286,1119
4398,1992,1285,1118
4401,1992,1285,1119
4404,1992,1286,1119
4402,1991,1285,1119
4401,1991,1286,1119
4402,1992,1286,1119
4400,1990,1285,1118
4400,1990,1285,1118
4401,1990,1286,1118
4396,1989,1285,1117
4391,1987,1283,1116
4391,1987,1283,1116
4388,1986,1282,1115
4385,1984,1281,1115
4384,1984,1280,1114
4381,1983,1279,1114
4377,1981,1278,1113
4377,1981,1278,1113
4376,1981,1278,1113
4374,1980,1277,1112
4373,1979,1276,1112
4373,1979,1277,1112
4370,1978,1276,1111
4369,1978,1276,1111
4369,1978,1276,1111
4366,1976,1275,1110
4365,1976,1275,1110
4366,1976,1275,1110
4364,1975,1275,1109
4363,1974,1274,1109
4363,1974,1274,1109
4361,1974,1274,1108
4360,1973,1274,1108
4359,1973,1274,1108
4357,1972,1273,1107
4353,1971,1272,1106
4349,1970,1271,1105
4347,1969,1270,1105
4344,1968,1269,1104
4341,1967,1268,1104
4339,1966,1268,1103
4337,1965,1267,1103
4336,1965,1266,1102
4336,1965,1266,1103
4336,1964,1266,1103
4335,1965,1266,1102
4335,1965,1266,1102
4336,1965,1267,1103
4339,1966,1267,1103
4341,1967,1268,1104
4343,1968,1269,1104
4345,1969,1269,1105
4347,1969,1270,1105
4352,1971,1271,1106
4355,1972,1272,1107
4355,1972,1272,1107
4355,1972,1273,1107
4356,1972,1274,1108
4359,1974,1274,1108
4361,1974,1274,1108
4364,1975,1275,1109
4367,1976,1276,1109
4368,1977,1277,1109
4369,1977,1277,1109
