72776,390753,414176,-23,-14,1041,1
72807,390772,414169,-23,-15,1030,1
72799,390761,414252,-20,-24,1030,1
72750,390800,414313,-17,-24,1049,1
72793,390868,414368,-17,-15,1021,1
72937,391004,414483,-20,-18,1021,1
73033,391213,414676,-18,-18,1030,1
73148,391338,414751,-18,-16,1029,1
73199,391471,414821,-21,-12,1029,1
73239,391465,414883,-17,-12,1026,1
73327,391620,414845,-13,-12,1033,1
73415,391874,415143,-13,-15,1035,1
73588,391970,415208,-15,-5,1035,1
73582,392110,415227,-11,-5,1040,1
73614,392174,415265,-11,-12,1017,1
73688,392202,415418,-18,-16,1017,1
73768,392455,415529,-17,-16,1016,1
73960,392499,415548,-17,-14,1038,1
73979,392623,415711,-15,-8,1027,1
73987,392740,415737,-15,-8,1027,1
74025,392861,415779,-15,-12,1032,1
74128,392927,415799,-20,-17,1027,1
74221,393094,415974,-21,-12,1027,1
74334,393144,416001,-16,-12,1023,1
74310,393265,416049,-16,-10,1046,1
74426,393232,416100,-9,-4,1046,1
74483,393455,416273,-7,-4,1017,1
74421,393567,416347,-7,-12,1027,1
74565,393609,416431,-19,-15,1027,1
74746,393721,416512,-17,-15,1029,1
74796,393827,416644,-17,-14,1030,1
74780,393896,416672,-11,-15,1017,1
74883,394041,416714,-26,-17,1017,1
74911,394094,416817,-10,-17,1013,1
75024,394225,416794,-10,-6,1026,1
75020,394302,416924,-13,-11,1026,1
75150,394403,416970,-12,-11,1040,1
75156,394495,417019,-12,-15,1023,1
75222,394721,417184,-16,-15,1023,1
75286,394598,417186,-11,-15,1024,1
75327,394683,417182,-11,-11,1043,1
75464,394815,417318,-15,-13,1016,1
75352,394981,417508,-11,-18,1016,1
75558,395023,417478,-18,-18,1032,1
75657,395100,417455,-18,-15,1021,1
75696,395133,417475,-23,-13,1021,1
75733,395209,417557,-18,-13,1029,1
75916,395419,417786,-18,-6,1024,1
75882,395392,417712,-16,-9,1024,1
75941,395474,417830,-23,-9,1014,1
75950,395514,417835,-23,-16,1026,1
75983,395619,417932,-18,-12,1026,1
76155,395684,418052,-12,-12,1033,1
76189,395816,418091,-12,-10,1020,1
76237,395938,418129,-17,-12,1017,1
76230,395991,418117,-17,-18,1017,1
76273,395982,418171,-23,-18,1029,1
76378,396021,418145,-23,-20,1023,1
76161,395807,418186,-18,-14,1023,1
75916,395566,418007,-10,-14,1035,1
75752,395304,417942,-10,-12,1026,1
75420,394949,417779,-9,-16,1023,1
75293,394725,417486,-16,-9,1023,1
74799,394088,417519,-16,-9,1027,1
74550,393789,417368,-15,-12,1027,1
74383,393609,417277,-13,-16,1032,1
74327,393454,417208,-14,-16,1038,1
74204,393476,417182,-14,-12,1032,1
73935,393018,417051,-17,-13,1032,1
73875,392929,417044,-17,-13,1030,1
73826,392870,417031,-17,-18,1047,1
73680,392834,417053,-18,-9,1047,1
73660,392952,417085,-21,-20,1050,1
73551,392557,416927,-21,-20,1024,1
73466,392494,416926,-11,-12,1049,1
73473,392500,416984,-15,-10,1049,1
73419,392497,416962,-15,-10,1023,1
73442,392484,417079,-15,-12,1024,1
73343,392635,417064,-24,-11,1024,1
73479,392660,417249,-11,-11,1035,1
73537,392812,417230,-11,-5,1026,1
73624,392949,417326,-24,-18,1026,1
73739,393171,417505,-21,-18,1035,1
73878,393375,417658,-21,-18,1038,1
73874,393498,417747,-14,-11,1044,1
73979,393510,417870,-15,-11,1044,1
74066,393617,417967,-15,-12,1023,1
74082,393839,418143,-18,-9,1092,1
74172,393933,418201,-29,-9,1092,1
74219,393999,418202,-28,-9,1050,1
74313,394198,418361,-28,-9,1024,1
74351,394265,418409,-25,-10,1024,1
74407,394651,418553,-33,-10,1017,1
74547,394720,418641,-33,-12,1021,1
74705,394840,418801,-31,-12,1021,1
74707,394968,418888,-32,-8,1029,1
74733,395087,418942,-32,-8,999,1
74861,395235,418993,-27,-13,1035,1
74968,395381,419154,-26,-9,1035,1
75101,395523,419184,-20,-9,1020,1
75099,395586,419314,-20,-17,1037,1
75147,395739,419333,-22,-13,1037,1
75277,395885,419520,-21,-13,1023,1
75400,396052,419655,-21,-5,1021,1
75512,396184,419730,-23,-13,1021,1
75554,396279,419692,-27,-13,1041,1
75681,396305,419778,-27,-12,1026,1
75702,396528,419949,-22,-19,1026,1
75753,396659,420078,-18,-19,1017,1
75866,396712,420113,-19,-11,1032,1
75959,396969,420194,-19,-11,1018,1
76014,396947,420291,-18,-16,1018,1
76034,397147,420368,-18,-16,1026,1
76141,397353,420473,-18,-9,1030,1
76240,397392,420479,-29,-12,1030,1
76269,397424,420537,-26,-12,1030,1
76330,397584,420649,-26,-11,1027,1
76500,397743,420780,-16,-11,1027,1
76419,397865,420861,-25,-4,1032,1
76627,398029,420860,-22,-4,1026,1
76672,398057,420857,-22,-12,1026,1
76772,398093,420991,-27,-12,1013,1
76889,398364,421136,-24,-4,1044,1
76826,398432,421210,-24,-17,1020,1
77067,398543,421298,-22,-15,1020,1
77058,398615,421291,-25,-15,1024,1
77120,398753,421454,-25,-11,1037,1
77241,398738,421522,-24,-10,1037,1
77413,399008,421628,-24,-10,1021,1
77310,399048,421603,-24,-12,1040,1
77510,399148,421702,-21,-12,1040,1
77563,399257,421739,-21,-12,1033,1
77552,399373,421815,-21,-19,1026,1
77712,399391,421967,-22,-8,1038,1
77588,399342,421855,-26,-9,1038,1
77451,399171,421796,-21,-9,1035,1
77228,398999,421753,-21,-16,1026,1
76974,398771,421667,-16,-10,1026,1
76825,398595,421339,-27,-10,1035,1
76296,397849,421266,-27,-10,1037,1
76155,397600,421250,-23,-9,1021,1
76113,397549,421225,-30,-9,1021,1
75885,397256,421163,-30,-12,1017,1
75860,397340,421150,-21,-18,1017,1
75704,397125,421040,-20,-9,999,1
75577,397133,421120,-26,-9,1026,1
75510,397034,420988,-26,-12,1050,1
75442,396881,421049,-23,-11,1050,1
75467,397138,421105,-17,-11,1035,1
75340,396919,421110,-17,-15,1049,1
75373,396967,421174,-26,-10,1049,1
